AREA_TYPE,AREA_CD,AREA_NAME,ACTUAL_SUBS,TARGET_SUBS,%ACH_SUBS,ACTUAL_GA,TARGET_GA,%ACH_GA,ACTUAL_GA_INSTALL,TARGET_GA_INSTALL,%ACH_GA_INSTALL
P,P,PRESIDENT,3346985.0,,,37801.0,44268.0,85.39125327550376,37801.0,,
G,GX1,Regional Management 1 (BMA-West),580052.0,,,6460.0,6090.0,106.07553366174056,3825.0,,
G,GX2,Regional Management 2 (BMA-East),864582.0,,,7429.0,7688.0,96.63111342351716,7508.0,,
G,GX3,Regional Management 3 (East),297340.0,,,3683.0,5053.0,72.887393627548,4260.0,,
G,GX4,Regional Management 4 (North),368183.0,,,3901.0,4950.0,78.8080808080808,4185.0,,
G,GX5,Regional Management 5 (Northeast 1),264914.0,,,3493.0,4247.0,82.24629149988228,3891.0,,
G,GX6,Regional Management 6 (Northeast 2),350809.0,,,4431.0,5270.0,84.0796963946869,4765.0,,
G,GX7,Regional Management 7 (Central West),338564.0,,,4735.0,5487.0,86.29487880444687,4722.0,,
G,GX8,Regional Management 8 (South),282464.0,,,3667.0,4980.0,73.63453815261045,4586.0,,
H,003,SMP : Bang Bo;Bang Sao Thong;Bang Phli,77632.0,,,670.0,620.0,108.06451612903226,631.0,,
H,004,SMP : Mueang Samut Prakan;Phra Pradaeng;Phra Samut Chedi,104674.0,,,638.0,690.0,92.46376811594203,870.0,,
H,005,NTB : Pak Kret;Bang Bua Thong;Sai Noi,90259.0,,,1120.0,900.0,124.44444444444444,626.0,,
H,006,PTT : Thanyaburi;Nong Suea;Lam Luk Ka,69333.0,,,561.0,900.0,62.33333333333333,479.0,,
H,007,PTT : Mueang Pathum Thani;Lat Lum Kaeo;Sam Khok;Khlong Luang,91680.0,,,846.0,780.0,108.46153846153845,773.0,,
H,026,BKK : Phaya Thai;Din Daeng;Huai Khwang,55430.0,,,565.0,570.0,99.12280701754386,663.0,,
H,029,BKK : Bang Sue;Chatuchak,57656.0,,,566.0,600.0,94.33333333333334,479.0,,
H,031,BKK : Phra Nakhon;Dusit;Bang Rak;Sathon;Pom Prap Sattru Phai;Samphanthawong;Yan Nawa;Bang Kho Laem,71562.0,,,634.0,630.0,100.63492063492063,488.0,,
H,033,BKK : Phra Khanong;Khlong Toei;Bang Na;Suan Luang,89350.0,,,751.0,720.0,104.30555555555556,1004.0,,
H,037,BKK : Vadhana;Pathum Wan;Ratchathewi,65766.0,,,727.0,725.0,100.27586206896552,865.0,,
H,042,BKK : Don Mueang;Sai Mai;Lak Si,64440.0,,,383.0,570.0,67.19298245614034,427.0,,
H,043,BKK : Min Buri;Khan Na Yao;Bueng Kum,56772.0,,,624.0,540.0,115.55555555555554,298.0,,
