System,Metric,Category,Area_type,TMH & DTAC-MB MKS,AIS-MB MKS,Total Market Size,PROVINCE_ENG,DISTRICT_EN
All OS,Age,13-17,District,0,0,120,Khon Kaen,Khok Pho Chai
Android,Age,13-17,District,0,100,120,Khon Kaen,Khok Pho Chai
iOS,Age,13-17,District,0,0,120,Khon Kaen,Khok Pho Chai
All OS,Age,13-17,District,100,0,150,Khon Kaen,Wiang Kao
Android,Age,13-17,District,63.33,0,150,Khon Kaen,Wiang Kao
iOS,Age,13-17,District,0,0,150,Khon Kaen,Wiang Kao
All OS,Age,13-17,District,54.06,45.95,180,Saraburi,Don Phut
Android,Age,13-17,District,0,0,180,Saraburi,Don Phut
iOS,Age,13-17,District,0,0,180,Saraburi,Don Phut
All OS,Age,13-17,District,0,100,190,Trat,Ko Chang
Android,Age,13-17,District,0,100,190,Trat,Ko Chang
iOS,Age,13-17,District,100,0,190,Trat,Ko Chang
All OS,Age,13-17,District,68.75,31.25,200,,Ban Luang
Android,Age,13-17,District,0,0,200,,Ban Luang
iOS,Age,13-17,District,0,0,200,,Ban Luang
All OS,Age,13-17,District,0,100,210,Phra Nakhon Si Ayutthaya,Ban Phraek
Android,Age,13-17,District,0,100,210,Phra Nakhon Si Ayutthaya,Ban Phraek
iOS,Age,13-17,District,0,100,210,Phra Nakhon Si Ayutthaya,Ban Phraek
All OS,Age,13-17,District,64.44,35.56,220,Saraburi,Nong Saeng
All OS,Age,13-17,District,30.56,69.44,220,,Na Muen
Android,Age,13-17,District,0,0,220,Saraburi,Nong Saeng
Android,Age,13-17,District,37.5,62.5,220,,Na Muen
iOS,Age,13-17,District,100,0,220,Saraburi,Nong Saeng
iOS,Age,13-17,District,0,0,220,,Na Muen
All OS,Age,13-17,District,0,0,230,Kalasin,Khong Chai
All OS,Age,13-17,District,37.5,62.5,230,Nakhon Sawan,Mae Wong
All OS,Age,13-17,District,0,100,230,Ratchaburi,Wat Phleng
Android,Age,13-17,District,0,100,230,Kalasin,Khong Chai
Android,Age,13-17,District,0,61.29,230,Nakhon Sawan,Mae Wong
Android,Age,13-17,District,0,0,230,Ratchaburi,Wat Phleng
iOS,Age,13-17,District,0,0,230,Kalasin,Khong Chai
iOS,Age,13-17,District,0,0,230,Nakhon Sawan,Mae Wong
iOS,Age,13-17,District,0,0,230,Ratchaburi,Wat Phleng
All OS,Age,13-17,District,28.95,71.05,250,Phatthalung,Si Banphot
Android,Age,13-17,District,0,100,250,Phatthalung,Si Banphot
iOS,Age,13-17,District,100,0,250,Phatthalung,Si Banphot
All OS,Age,13-17,District,64.87,35.14,270,Chiang Mai,Mae On
All OS,Age,13-17,District,56.9,43.1,270,Si Sa Ket,Mueang Chan
Android,Age,13-17,District,100,0,270,Chiang Mai,Mae On
Android,Age,13-17,District,29.41,41.18,270,Si Sa Ket,Mueang Chan
iOS,Age,13-17,District,0,0,270,Chiang Mai,Mae On
iOS,Age,13-17,District,0,0,270,Si Sa Ket,Mueang Chan
All OS,Age,13-17,District,0,100,280,Lop Buri,Lam Sonthi
Android,Age,13-17,District,0,100,280,Lop Buri,Lam Sonthi
iOS,Age,13-17,District,0,100,280,Lop Buri,Lam Sonthi
All OS,Age,13-17,District,31.71,68.29,290,Chiang Mai,Galyani Vadhana
Android,Age,13-17,District,0,100,290,Chiang Mai,Galyani Vadhana
iOS,Age,13-17,District,0,0,290,Chiang Mai,Galyani Vadhana
All OS,Age,13-17,District,57.14,42.86,300,Chachoengsao,Ratchasan
Android,Age,13-17,District,59.38,40.63,300,Chachoengsao,Ratchasan
iOS,Age,13-17,District,0,0,300,Chachoengsao,Ratchasan
