System,Areas,Category,Metric,Area_type,TMH & DTAC-MB MKS,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH & DTAC-MB Total Customer,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer
All OS,Thailand,13-17,Age,Nationwide,53.8,34.23,46.21,19.57,0,2870000,1671000,1060000,1440000,611000,0
All OS,Thailand,18-24,Age,Nationwide,57.41,33.3,42.59,24.11,0,10500000,6390000,3710000,4740000,2680000,160
All OS,Thailand,25-34,Age,Nationwide,55.43,32.72,44.57,22.71,0,21700000,12470000,7360000,10000000,5110000,770
All OS,Thailand,35-44,Age,Nationwide,52.49,31.94,47.5,20.55,0,13300000,7190000,4370000,6500000,2820000,620
All OS,Thailand,45-54,Age,Nationwide,48.81,29.35,51.18,19.46,0.01,8860000,4440000,2670000,4650000,1770000,840
All OS,Thailand,55-64,Age,Nationwide,46.75,27.31,53.23,19.44,0.02,5770000,2750000,1610000,3130000,1140000,1100
All OS,Thailand,65+,Age,Nationwide,48.33,27.86,51.65,20.47,0.02,3480000,1715000,989000,1840000,726000,660
All OS,Thailand,All,All,Nationwide,53.08,31.55,46.91,21.53,0.01,66600000,36700000,21800000,32400000,14900000,4100
All OS,Thailand,2G,Connection,Nationwide,73.86,50.39,26.14,23.47,0,19000,14400,9800,4900,4600,0
All OS,Thailand,3G,Connection,Nationwide,41.9,22.61,58.08,19.29,0.01,1070000,461000,248000,639000,213000,250
All OS,Thailand,4G,Connection,Nationwide,52.62,28.82,47.37,23.8,0.01,35900000,19570000,10700000,17600000,8870000,3300
All OS,Thailand,5G,Connection,Nationwide,54.03,36.92,45.97,17.11,0,19000000,10760000,7350000,9160000,3410000,210
All OS,Thailand,Price unknown,Device,Nationwide,56.76,34.86,43.24,21.9,0,2240000,1314000,807000,1010000,507000,
All OS,Thailand,"$1,000 or more",Device,Nationwide,52.1,34.67,47.9,17.43,0,13800000,7370000,4900000,6790000,2470000,
All OS,Thailand,Less than $100,Device,Nationwide,49.89,28.45,50.09,21.44,0.01,2960000,1500000,856000,1500000,644000,
All OS,Thailand,$100 - $149,Device,Nationwide,51.56,28.8,48.43,22.76,0,9360000,4900000,2740000,4610000,2160000,
All OS,Thailand,$150 - $199,Device,Nationwide,53.52,29.47,46.47,24.05,0.01,8190000,4450000,2450000,3870000,2000000,
All OS,Thailand,$200 - $249,Device,Nationwide,55.37,30.22,44.63,25.15,0.01,5790000,3260000,1780000,2630000,1480000,
All OS,Thailand,$250 - $299,Device,Nationwide,53.21,29.16,46.78,24.05,0.01,5180000,2800000,1530000,2460000,1270000,
All OS,Thailand,$300 - $399,Device,Nationwide,54.46,31.55,45.53,22.91,0.01,6820000,3780000,2190000,3170000,1590000,
All OS,Thailand,$400 - $599,Device,Nationwide,54.89,34.08,45.1,20.81,0.01,7780000,4370000,2710000,3590000,1660000,
All OS,Thailand,$600 - $999,Device,Nationwide,53.94,35.42,46.06,18.52,0,9330000,5220000,3430000,4450000,1790000,
All OS,Thailand,Female,Gender,Nationwide,52.5,31.29,47.5,21.21,0.01,33600000,18320000,10900000,16600000,7420000,2000
All OS,Thailand,Male,Gender,Nationwide,53.69,31.82,46.3,21.87,0.01,32700000,18210000,10800000,15700000,7410000,2000
Android,Thailand,13-17,Age,Nationwide,53.35,33.21,46.65,20.14,0,2870000,1671000,1060000,1440000,611000,0
Android,Thailand,18-24,Age,Nationwide,58.7,30.74,41.31,27.96,0,10500000,6390000,3710000,4740000,2680000,160
Android,Thailand,25-34,Age,Nationwide,56.21,30.6,43.79,25.61,0.01,21700000,12470000,7360000,10000000,5110000,770
Android,Thailand,35-44,Age,Nationwide,52.39,30.88,47.6,21.51,0.01,13300000,7190000,4370000,6500000,2820000,620
Android,Thailand,45-54,Age,Nationwide,48.58,28.94,51.42,19.64,0.01,8860000,4440000,2670000,4650000,1770000,840
Android,Thailand,55-64,Age,Nationwide,46.53,27.04,53.45,19.49,0.02,5770000,2750000,1610000,3130000,1140000,1100
Android,Thailand,65+,Age,Nationwide,48.11,27.47,51.87,20.64,0.02,3480000,1715000,989000,1840000,726000,660
Android,Thailand,All,All,Nationwide,53,30,47,23,0.01,66600000,36700000,21800000,32400000,14900000,4100
Android,Thailand,2G,Connection,Nationwide,74.4,50.06,25.59,24.34,0,19000,14400,9800,4900,4600,0
Android,Thailand,3G,Connection,Nationwide,40.71,21.02,59.26,19.69,0.02,1070000,461000,248000,639000,213000,250
Android,Thailand,4G,Connection,Nationwide,52.82,27.88,47.18,24.94,0.01,35900000,19570000,10700000,17600000,8870000,3300
Android,Thailand,5G,Connection,Nationwide,54.6,36.67,45.4,17.93,0,19000000,10760000,7350000,9160000,3410000,210
Android,Thailand,Price unknown,Device,Nationwide,54.36,30.94,45.62,23.42,0.01,2250000,1322000,810000,1000000,512000,
Android,Thailand,"$1,000 or more",Device,Nationwide,51.66,33.09,48.32,18.57,0.02,13800000,7370000,4900000,6790000,2470000,
Android,Thailand,Less than $100,Device,Nationwide,49.92,28.44,50.08,21.48,0,2960000,1500000,856000,1500000,644000,
Android,Thailand,$100 - $149,Device,Nationwide,51.5,28.81,48.5,22.69,0.01,9360000,4900000,2740000,4610000,2160000,
Android,Thailand,$150 - $199,Device,Nationwide,53.53,29.47,46.46,24.06,0.01,8190000,4450000,2450000,3870000,2000000,
Android,Thailand,$200 - $249,Device,Nationwide,55.33,30.2,44.67,25.13,0,5790000,3260000,1780000,2630000,1480000,
Android,Thailand,$250 - $299,Device,Nationwide,53.13,28.97,46.86,24.16,0.01,5180000,2800000,1530000,2460000,1270000,
Android,Thailand,$300 - $399,Device,Nationwide,53.84,30.56,46.15,23.28,0.01,6820000,3780000,2190000,3170000,1590000,
Android,Thailand,$400 - $599,Device,Nationwide,52.98,31.89,47.01,21.09,0.01,7780000,4360000,2710000,3600000,1650000,
Android,Thailand,$600 - $999,Device,Nationwide,54.76,33.9,45.23,20.86,0.01,9330000,5220000,3430000,4450000,1790000,
Android,Thailand,Female,Gender,Nationwide,52.26,29.45,47.74,22.81,0.01,33600000,18320000,10900000,16600000,7420000,2000
Android,Thailand,Male,Gender,Nationwide,53.65,30.47,46.35,23.18,0.01,32700000,18210000,10800000,15700000,7410000,2000
iOS,Thailand,13-17,Age,Nationwide,54.53,36.83,45.46,17.7,0,2870000,1671000,1060000,1440000,611000,0
iOS,Thailand,18-24,Age,Nationwide,55.71,37.29,44.28,18.42,0,10500000,6390000,3710000,4740000,2680000,160
iOS,Thailand,25-34,Age,Nationwide,54.12,37.02,45.87,17.1,0,21700000,12470000,7360000,10000000,5110000,770
iOS,Thailand,35-44,Age,Nationwide,52.78,35.03,47.22,17.75,0,13300000,7190000,4370000,6500000,2820000,620
iOS,Thailand,45-54,Age,Nationwide,49.9,31.18,50.1,18.72,0,8860000,4440000,2670000,4650000,1770000,840
iOS,Thailand,55-64,Age,Nationwide,47.32,28.58,52.69,18.74,0,5770000,2750000,1610000,3130000,1140000,1100
iOS,Thailand,65+,Age,Nationwide,49.08,29.96,50.92,19.12,0,3480000,1715000,989000,1840000,726000,660
iOS,Thailand,All,All,Nationwide,53.5,35.68,46.5,17.82,0,66600000,36700000,21800000,32400000,14900000,4100
iOS,Thailand,2G,Connection,Nationwide,66.06,44.85,33.94,21.21,0,19000,14400,9800,4900,4600,0
iOS,Thailand,3G,Connection,Nationwide,48.99,33.36,51.01,15.63,0,1070000,461000,248000,639000,213000,250
iOS,Thailand,4G,Connection,Nationwide,52.29,32.75,47.71,19.54,0,35900000,19570000,10700000,17600000,8870000,3300
iOS,Thailand,5G,Connection,Nationwide,53.72,37.6,46.28,16.12,0,19000000,10760000,7350000,9160000,3410000,210
iOS,Thailand,Price unknown,Device,Nationwide,61.78,42.8,38.22,18.98,0,2250000,1322000,810000,1000000,512000,
iOS,Thailand,"$1,000 or more",Device,Nationwide,52.09,34.83,47.9,17.26,0,13800000,7370000,4900000,6790000,2470000,
iOS,Thailand,Less than $100,Device,Nationwide,0,0,0,0,0,2960000,1500000,856000,1500000,644000,
iOS,Thailand,$100 - $149,Device,Nationwide,0,0,0,0,0,9360000,4900000,2740000,4610000,2160000,
iOS,Thailand,$150 - $199,Device,Nationwide,0,0,0,0,0,8190000,4450000,2450000,3870000,2000000,
iOS,Thailand,$200 - $249,Device,Nationwide,0,0,0,0,0,5790000,3260000,1780000,2630000,1480000,
iOS,Thailand,$250 - $299,Device,Nationwide,59.22,41.44,40.77,17.78,0,5180000,2800000,1530000,2460000,1270000,
iOS,Thailand,$300 - $399,Device,Nationwide,59.34,39.95,40.66,19.39,0,6820000,3780000,2190000,3170000,1590000,
iOS,Thailand,$400 - $599,Device,Nationwide,62.15,42.86,37.85,19.29,0,7780000,4360000,2710000,3600000,1650000,
iOS,Thailand,$600 - $999,Device,Nationwide,53.69,35.87,46.31,17.82,0,9330000,5220000,3430000,4450000,1790000,
iOS,Thailand,Female,Gender,Nationwide,53.1,35.26,46.9,17.84,0,33600000,18320000,10900000,16600000,7420000,2000
iOS,Thailand,Male,Gender,Nationwide,54,36.26,46,17.74,0,32700000,18210000,10800000,15700000,7410000,2000
All OS,Changwat Chai Nat,13-17,Age,Province,49.8,37.19,50.2,12.61,0,11000,6300,4700,6100,1600,0
All OS,Changwat Chai Nat,18-24,Age,Province,53.19,38.36,46.81,14.83,0,31000,18100,13000,16000,5100,0
All OS,Changwat Chai Nat,25-34,Age,Province,50.97,37.59,49.03,13.38,0,67000,35300,26000,34000,9300,0
All OS,Changwat Chai Nat,35-44,Age,Province,47.81,35.03,52.19,12.78,0,43000,20500,15000,22000,5500,0
All OS,Changwat Chai Nat,45-54,Age,Province,44.93,30.87,55.07,14.06,0,30000,13800,9600,17000,4200,0
All OS,Changwat Chai Nat,55-64,Age,Province,40.39,26.54,59.61,13.85,0,24000,9900,6500,14000,3400,0
All OS,Changwat Chai Nat,65+,Age,Province,39.58,25.97,60.42,13.61,0,15000,6000,3900,8900,2100,0
All OS,Changwat Surin,13-17,Age,Province,41.97,32.14,58.03,9.83,0,58000,26200,20000,37000,6200,0
All OS,Changwat Surin,18-24,Age,Province,44.16,33.39,55.84,10.77,0,129000,62000,47000,79000,15000,0
All OS,Changwat Surin,25-34,Age,Province,42.18,31.83,57.81,10.35,0,232000,104000,78000,141000,26000,0
All OS,Changwat Surin,35-44,Age,Province,40.66,29.6,59.34,11.06,0,140000,61000,43000,85000,18000,0
All OS,Changwat Surin,45-54,Age,Province,34.74,24.16,65.26,10.58,0,106000,38000,27000,71000,11000,0
All OS,Changwat Surin,55-64,Age,Province,30.87,20.89,69.13,9.98,0,75000,23600,16000,53000,7600,0
All OS,Changwat Surin,65+,Age,Province,31.06,21.34,68.95,9.72,0,41000,13100,9000,29000,4100,0
All OS,Changwat Uthai Thani,13-17,Age,Province,37.17,30.03,62.83,7.14,0,12000,4910,4000,8100,910,0
All OS,Changwat Uthai Thani,18-24,Age,Province,41.98,32.25,58.02,9.73,0,31000,13000,10000,20000,3000,0
All OS,Changwat Uthai Thani,25-34,Age,Province,39.15,30.49,60.85,8.66,0,61000,24400,19000,39000,5400,0
All OS,Changwat Uthai Thani,35-44,Age,Province,35.98,27.71,64.01,8.27,0,40000,15400,12000,26000,3400,0
All OS,Changwat Uthai Thani,45-54,Age,Province,33.3,25.2,66.7,8.1,0,28000,9700,7400,19000,2300,0
All OS,Changwat Uthai Thani,55-64,Age,Province,30.17,21.73,69.82,8.44,0,22000,6900,5000,16000,1900,0
All OS,Changwat Uthai Thani,65+,Age,Province,29.72,22.86,70.28,6.86,0,13000,4060,3100,9100,960,0
All OS,Changwat Tak,13-17,Age,Province,45.91,32.24,54.1,13.67,0,41000,19900,14000,24000,5900,0
All OS,Changwat Tak,18-24,Age,Province,48.16,31.24,51.84,16.92,0,110000,56000,36000,59000,20000,0
All OS,Changwat Tak,25-34,Age,Province,47.37,29.63,52.63,17.74,0,157000,76000,48000,82000,28000,0
All OS,Changwat Tak,35-44,Age,Province,46.88,30.46,53.12,16.42,0,77000,37000,24000,42000,13000,0
All OS,Changwat Tak,45-54,Age,Province,43.18,28.8,56.82,14.38,0,43000,18300,12000,24000,6300,0
All OS,Changwat Tak,55-64,Age,Province,39.48,25.59,60.52,13.89,0,27000,11200,7200,17000,4000,0
All OS,Changwat Tak,65+,Age,Province,38.82,24.76,61.18,14.06,0,17000,7000,4400,11000,2600,0
All OS,Changwat Nakhon Si Thammarat,13-17,Age,Province,47.56,27.88,52.45,19.68,0,59000,31000,18000,35000,13000,0
