Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,System,AREA_META,Category,Metric,Area_type
"Thailand, 13-17",34.23,46.21,19.57,0,2870000,1060000,1440000,611000,0,All OS,Thailand,13-17,Age,Nationwide
"Thailand, 18-24",33.3,42.59,24.11,0,10500000,3710000,4740000,2680000,160,All OS,Thailand,18-24,Age,Nationwide
"Thailand, 25-34",32.72,44.57,22.71,0,21700000,7360000,10000000,5110000,770,All OS,Thailand,25-34,Age,Nationwide
"Thailand, 35-44",31.94,47.5,20.55,0,13300000,4370000,6500000,2820000,620,All OS,Thailand,35-44,Age,Nationwide
"Thailand, 45-54",29.35,51.18,19.46,0.01,8860000,2670000,4650000,1770000,840,All OS,Thailand,45-54,Age,Nationwide
"Thailand, 55-64",27.31,53.23,19.44,0.02,5770000,1610000,3130000,1140000,1100,All OS,Thailand,55-64,Age,Nationwide
"Thailand, 65+",27.86,51.65,20.47,0.02,3480000,989000,1840000,726000,660,All OS,Thailand,65+,Age,Nationwide
"Thailand, All",31.55,46.91,21.53,0.01,66600000,21800000,32400000,14900000,4100,All OS,Thailand,All,All,Nationwide
"Thailand, 2G",50.39,26.14,23.47,0,19000,9800,4900,4600,0,All OS,Thailand,2G,Connection,Nationwide
"Thailand, 3G",22.61,58.08,19.29,0.01,1070000,248000,639000,213000,250,All OS,Thailand,3G,Connection,Nationwide
"Thailand, 4G",28.82,47.37,23.8,0.01,35900000,10700000,17600000,8870000,3300,All OS,Thailand,4G,Connection,Nationwide
"Thailand, 5G",36.92,45.97,17.11,0,19000000,7350000,9160000,3410000,210,All OS,Thailand,5G,Connection,Nationwide
"Thailand, Price unknown",34.86,43.24,21.9,0,2240000,807000,1010000,507000,,All OS,Thailand,Price unknown,Device,Nationwide
"Thailand, $1,000 or more",34.67,47.9,17.43,0,13800000,4900000,6790000,2470000,,All OS,Thailand,"$1,000 or more",Device,Nationwide
"Thailand, Less than $100",28.45,50.09,21.44,0.01,2960000,856000,1500000,644000,,All OS,Thailand,Less than $100,Device,Nationwide
"Thailand, $100 - $149",28.8,48.43,22.76,0,9360000,2740000,4610000,2160000,,All OS,Thailand,$100 - $149,Device,Nationwide
"Thailand, $150 - $199",29.47,46.47,24.05,0.01,8190000,2450000,3870000,2000000,,All OS,Thailand,$150 - $199,Device,Nationwide
"Thailand, $200 - $249",30.22,44.63,25.15,0.01,5790000,1780000,2630000,1480000,,All OS,Thailand,$200 - $249,Device,Nationwide
"Thailand, $250 - $299",29.16,46.78,24.05,0.01,5180000,1530000,2460000,1270000,,All OS,Thailand,$250 - $299,Device,Nationwide
"Thailand, $300 - $399",31.55,45.53,22.91,0.01,6820000,2190000,3170000,1590000,,All OS,Thailand,$300 - $399,Device,Nationwide
"Thailand, $400 - $599",34.08,45.1,20.81,0.01,7780000,2710000,3590000,1660000,,All OS,Thailand,$400 - $599,Device,Nationwide
"Thailand, $600 - $999",35.42,46.06,18.52,0,9330000,3430000,4450000,1790000,,All OS,Thailand,$600 - $999,Device,Nationwide
"Thailand, Female",31.29,47.5,21.21,0.01,33600000,10900000,16600000,7420000,2000,All OS,Thailand,Female,Gender,Nationwide
"Thailand, Male",31.82,46.3,21.87,0.01,32700000,10800000,15700000,7410000,2000,All OS,Thailand,Male,Gender,Nationwide
"Thailand, 13-17",33.21,46.65,20.14,0,2870000,1060000,1440000,611000,0,Android,Thailand,13-17,Age,Nationwide
"Thailand, 18-24",30.74,41.31,27.96,0,10500000,3710000,4740000,2680000,160,Android,Thailand,18-24,Age,Nationwide
"Thailand, 25-34",30.6,43.79,25.61,0.01,21700000,7360000,10000000,5110000,770,Android,Thailand,25-34,Age,Nationwide
