Provinces & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,TMH-MB Market Size,AIS-MB Market Size,DTAC-MB Market Size,TOT-MB Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,Source,Provinces,Category,Metric
"Changwat Chai Nat, 13-17",37.19,50.2,12.61,--,"11,000","11,000","11,000","11,000","4,700","6,100","1,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chai Nat,13-17,Age
"Changwat Chai Nat, 18-24",38.36,46.81,14.83,--,"31,000","31,000","31,000","31,000","13,000","16,000","5,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chai Nat,18-24,Age
"Changwat Chai Nat, 25-34",37.59,49.03,13.38,--,"67,000","67,000","67,000","67,000","26,000","34,000","9,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chai Nat,25-34,Age
"Changwat Chai Nat, 35-44",35.03,52.19,12.78,--,"43,000","43,000","43,000","43,000","15,000","22,000","5,500",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chai Nat,35-44,Age
"Changwat Chai Nat, 45-54",30.87,55.07,14.06,--,"30,000","30,000","30,000","30,000","9,600","17,000","4,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chai Nat,45-54,Age
"Changwat Chai Nat, 55-64",26.54,59.61,13.85,--,"24,000","24,000","24,000","24,000","6,500","14,000","3,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chai Nat,55-64,Age
"Changwat Chai Nat, 65+",25.97,60.42,13.61,--,"15,000","15,000","15,000","15,000","3,900","8,900","2,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chai Nat,65+,Age
"Changwat Surin, 13-17",32.14,58.03,9.83,--,"58,000","58,000","58,000","58,000","20,000","37,000","6,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surin,13-17,Age
"Changwat Surin, 18-24",33.39,55.84,10.77,--,"129,000","129,000","129,000","129,000","47,000","79,000","15,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surin,18-24,Age
"Changwat Surin, 25-34",31.83,57.81,10.35,--,"232,000","232,000","232,000","232,000","78,000","141,000","26,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surin,25-34,Age
"Changwat Surin, 35-44",29.6,59.34,11.06,--,"140,000","140,000","140,000","140,000","43,000","85,000","18,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surin,35-44,Age
"Changwat Surin, 45-54",24.16,65.26,10.58,--,"106,000","106,000","106,000","106,000","27,000","71,000","11,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surin,45-54,Age
"Changwat Surin, 55-64",20.89,69.13,9.98,--,"75,000","75,000","75,000","75,000","16,000","53,000","7,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surin,55-64,Age
"Changwat Surin, 65+",21.34,68.95,9.72,--,"41,000","41,000","41,000","41,000","9,000","29,000","4,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surin,65+,Age
"Changwat Uthai Thani, 13-17",30.03,62.83,7.14,--,"12,000","12,000","12,000","12,000","4,000","8,100",910,--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uthai Thani,13-17,Age
"Changwat Uthai Thani, 18-24",32.25,58.02,9.73,--,"31,000","31,000","31,000","31,000","10,000","20,000","3,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uthai Thani,18-24,Age
"Changwat Uthai Thani, 25-34",30.49,60.85,8.66,--,"61,000","61,000","61,000","61,000","19,000","39,000","5,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uthai Thani,25-34,Age
"Changwat Uthai Thani, 35-44",27.71,64.01,8.27,--,"40,000","40,000","40,000","40,000","12,000","26,000","3,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uthai Thani,35-44,Age
"Changwat Uthai Thani, 45-54",25.2,66.7,8.1,--,"28,000","28,000","28,000","28,000","7,400","19,000","2,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uthai Thani,45-54,Age
"Changwat Uthai Thani, 55-64",21.73,69.82,8.44,--,"22,000","22,000","22,000","22,000","5,000","16,000","1,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uthai Thani,55-64,Age
"Changwat Uthai Thani, 65+",22.86,70.28,6.86,--,"13,000","13,000","13,000","13,000","3,100","9,100",960,--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uthai Thani,65+,Age
"Changwat Tak, 13-17",32.24,54.1,13.67,--,"41,000","41,000","41,000","41,000","14,000","24,000","5,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Tak,13-17,Age
"Changwat Tak, 18-24",31.24,51.84,16.92,--,"110,000","110,000","110,000","110,000","36,000","59,000","20,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Tak,18-24,Age
"Changwat Tak, 25-34",29.63,52.63,17.74,--,"157,000","157,000","157,000","157,000","48,000","82,000","28,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Tak,25-34,Age
"Changwat Tak, 35-44",30.46,53.12,16.42,--,"77,000","77,000","77,000","77,000","24,000","42,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Tak,35-44,Age
"Changwat Tak, 45-54",28.8,56.82,14.38,--,"43,000","43,000","43,000","43,000","12,000","24,000","6,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Tak,45-54,Age
"Changwat Tak, 55-64",25.59,60.52,13.89,--,"27,000","27,000","27,000","27,000","7,200","17,000","4,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Tak,55-64,Age
"Changwat Tak, 65+",24.76,61.18,14.06,--,"17,000","17,000","17,000","17,000","4,400","11,000","2,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Tak,65+,Age
"Changwat Nakhon Si Thammarat, 13-17",27.88,52.45,19.68,--,"59,000","59,000","59,000","59,000","18,000","35,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Si Thammarat,13-17,Age
"Changwat Nakhon Si Thammarat, 18-24",26.39,54.01,19.6,--,"174,000","174,000","174,000","174,000","51,000","102,000","37,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Si Thammarat,18-24,Age
"Changwat Nakhon Si Thammarat, 25-34",26.83,55.92,17.25,--,"348,000","348,000","348,000","348,000","97,000","205,000","64,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Si Thammarat,25-34,Age
"Changwat Nakhon Si Thammarat, 35-44",25.56,57.13,17.25,0.05,"224,000","224,000","224,000","224,000","60,000","133,000","41,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Si Thammarat,35-44,Age
